rule_id,name,category,version,status,text,notes
core-001,Movement,core,v0.0,draft,,
core-002,Shooting,core,v0.0,draft,,
core-003,Melee,core,v0.0,draft,,
core-004,Cover and line of sight,core,v0.0,draft,,
core-005,Activation order,core,v0.0,draft,,
core-006,Morale and suppression,core,v0.0,draft,,
core-007,Casualties,core,v0.0,draft,,
core-008,Victory and end of game,core,v0.0,draft,,
adv-001,Vehicles,advanced,v0.0,parking-lot,,
adv-002,Drones,advanced,v0.0,parking-lot,,
adv-003,Civilians and non-combatants,advanced,v0.0,parking-lot,,
adv-004,Weather and climate,advanced,v0.0,parking-lot,,
adv-005,Campaign rules,advanced,v0.0,parking-lot,,
